Week,Air Purifier: (India)
7/26/2020,19
8/2/2020,19
8/9/2020,17
8/16/2020,16
8/23/2020,17
8/30/2020,16
9/6/2020,17
9/13/2020,16
9/20/2020,14
9/27/2020,15
10/4/2020,16
10/11/2020,21
10/18/2020,24
10/25/2020,29
11/1/2020,36
11/8/2020,60
11/15/2020,34
11/22/2020,23
11/29/2020,19
12/6/2020,16
12/13/2020,14
12/20/2020,15
12/27/2020,13
1/3/2021,12
1/10/2021,13
1/17/2021,14
1/24/2021,13
1/31/2021,12
2/7/2021,13
2/14/2021,12
2/21/2021,15
2/28/2021,12
3/7/2021,13
3/14/2021,13
3/21/2021,16
3/28/2021,16
4/4/2021,15
4/11/2021,18
4/18/2021,25
4/25/2021,29
5/2/2021,29
5/9/2021,25
5/16/2021,23
5/23/2021,23
5/30/2021,18
6/6/2021,23
6/13/2021,16
6/20/2021,15
6/27/2021,15
7/4/2021,15
7/11/2021,14
7/18/2021,12
7/25/2021,12
8/1/2021,12
8/8/2021,12
8/15/2021,12
8/22/2021,13
8/29/2021,16
9/5/2021,18
9/12/2021,24
9/19/2021,22
9/26/2021,26
10/3/2021,34
10/10/2021,25
10/17/2021,15
10/24/2021,15
10/31/2021,24
11/7/2021,32
11/14/2021,32
11/21/2021,23
11/28/2021,21
12/5/2021,16
12/12/2021,15
12/19/2021,15
12/26/2021,13
1/2/2022,18
1/9/2022,14
1/16/2022,14
1/23/2022,14
1/30/2022,13
2/6/2022,12
2/13/2022,11
2/20/2022,13
2/27/2022,13
3/6/2022,13
3/13/2022,13
3/20/2022,14
3/27/2022,14
4/3/2022,13
4/10/2022,12
4/17/2022,14
4/24/2022,13
5/1/2022,12
5/8/2022,11
5/15/2022,11
5/22/2022,10
5/29/2022,12
6/5/2022,12
6/12/2022,12
6/19/2022,13
6/26/2022,12
7/3/2022,11
7/10/2022,12
7/17/2022,9
7/24/2022,10
7/31/2022,11
8/7/2022,10
8/14/2022,11
8/21/2022,11
8/28/2022,9
9/4/2022,9
9/11/2022,11
9/18/2022,11
9/25/2022,12
10/2/2022,11
10/9/2022,11
10/16/2022,16
10/23/2022,19
10/30/2022,31
11/6/2022,25
11/13/2022,18
11/20/2022,15
11/27/2022,15
12/4/2022,15
12/11/2022,12
12/18/2022,13
12/25/2022,14
1/1/2023,13
1/8/2023,13
1/15/2023,13
1/22/2023,13
1/29/2023,11
2/5/2023,11
2/12/2023,13
2/19/2023,12
2/26/2023,12
3/5/2023,13
3/12/2023,13
3/19/2023,10
3/26/2023,10
4/2/2023,11
4/9/2023,11
4/16/2023,12
4/23/2023,10
4/30/2023,9
5/7/2023,10
5/14/2023,12
5/21/2023,11
5/28/2023,10
6/4/2023,10
6/11/2023,10
6/18/2023,10
6/25/2023,10
7/2/2023,9
7/9/2023,9
7/16/2023,9
7/23/2023,9
7/30/2023,9
8/6/2023,7
8/13/2023,7
8/20/2023,9
8/27/2023,9
9/3/2023,9
9/10/2023,7
9/17/2023,7
9/24/2023,7
10/1/2023,9
10/8/2023,12
10/15/2023,11
10/22/2023,15
10/29/2023,46
11/5/2023,65
11/12/2023,33
11/19/2023,24
11/26/2023,18
12/3/2023,12
12/10/2023,14
12/17/2023,11
12/24/2023,13
12/31/2023,11
1/7/2024,11
1/14/2024,11
1/21/2024,10
1/28/2024,11
2/4/2024,9
2/11/2024,10
2/18/2024,10
2/25/2024,10
3/3/2024,10
3/10/2024,10
3/17/2024,9
3/24/2024,11
3/31/2024,11
4/7/2024,11
4/14/2024,10
4/21/2024,10
4/28/2024,12
5/5/2024,9
5/12/2024,8
5/19/2024,8
5/26/2024,10
6/2/2024,6
6/9/2024,7
6/16/2024,7
6/23/2024,6
6/30/2024,7
7/7/2024,6
7/14/2024,8
7/21/2024,7
7/28/2024,7
8/4/2024,7
8/11/2024,8
8/18/2024,8
8/25/2024,8
9/1/2024,8
9/8/2024,8
9/15/2024,8
9/22/2024,9
9/29/2024,10
10/6/2024,10
10/13/2024,15
10/20/2024,24
10/27/2024,31
11/3/2024,29
11/10/2024,37
11/17/2024,100
11/24/2024,34
12/1/2024,21
12/8/2024,19
12/15/2024,17
12/22/2024,16
12/29/2024,15
1/5/2025,14
1/12/2025,13
1/19/2025,12
1/26/2025,13
2/2/2025,19
2/9/2025,19
2/16/2025,18
2/23/2025,17
3/2/2025,14
3/9/2025,13
3/16/2025,15
3/23/2025,12
3/30/2025,13
4/6/2025,15
4/13/2025,12
4/20/2025,13
4/27/2025,13
5/4/2025,10
5/11/2025,11
5/18/2025,10
5/25/2025,9
6/1/2025,11
6/8/2025,11
6/15/2025,11
6/22/2025,10
6/29/2025,9
7/6/2025,9
7/13/2025,10
7/20/2025,10
