year,month,state,rto,vehicle_class,fuel,value
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,BUS,DIESEL,2
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,GOODS CARRIER,DIESEL,23
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,GOODS CARRIER,PETROL,1
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,387
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,83
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PURE EV,2
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MAXI CAB,DIESEL,1
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOPED,PETROL,3
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,DIESEL,1
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,PETROL,9
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,6
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,DIESEL,11
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL,123
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL/ETHANOL,22
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,12
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PURE EV,3
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,15
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,OMNI BUS,DIESEL,1
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,1
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,3
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,80
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL/ETHANOL,1
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,STRONG HYBRID EV,1
2025,April,Andhra Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1479
2025,April,Andhra Pradesh,All Vahan Running Office,AMBULANCE,DIESEL,37
2025,April,Andhra Pradesh,All Vahan Running Office,AMBULANCE,PETROL,16
2025,April,Andhra Pradesh,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,61
2025,April,Andhra Pradesh,All Vahan Running Office,BUS,CNG ONLY,1
2025,April,Andhra Pradesh,All Vahan Running Office,BUS,DIESEL,122
2025,April,Andhra Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,245
2025,April,Andhra Pradesh,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,7
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),16
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW WITH CART (G),PURE EV,1
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),3
2025,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW(P),PURE EV,2
2025,April,Andhra Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,49
2025,April,Andhra Pradesh,All Vahan Running Office,EXCAVATOR (NT),DIESEL,2
2025,April,Andhra Pradesh,All Vahan Running Office,FIRE TENDERS,DIESEL,3
2025,April,Andhra Pradesh,All Vahan Running Office,FORK LIFT,DIESEL,7
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,CNG ONLY,23
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,DIESEL,2257
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),5
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL,48
2025,April,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,4
