year,month,state,rto,vehicle_class,fuel,value,unit,note
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,BUS,DIESEL,2,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,GOODS CARRIER,DIESEL,23,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,GOODS CARRIER,PETROL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,387,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,83,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PURE EV,2,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MAXI CAB,DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOPED,PETROL,3,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,PETROL,9,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,6,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,DIESEL,11,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL,123,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL/ETHANOL,22,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,12,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PURE EV,3,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,15,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,OMNI BUS,DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,1,value in Absolute Number,
2025,April,Andaman and Nicobar Islands,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,3,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,80,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL/ETHANOL,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,STRONG HYBRID EV,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1479,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,AMBULANCE,DIESEL,37,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,AMBULANCE,PETROL,16,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,61,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,BUS,CNG ONLY,1,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,BUS,DIESEL,122,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,245,value in Absolute Number,
2025,April,Andhra Pradesh,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,7,value in Absolute Number,
